Date,Emerging Markets Equal Weighted Currency Index,Emerging Markets Equal Weighted Index Equity Index (Local Currency),MSCI Emerging Markets Equity Index (USD),S&P 500,Dax,MSCI Europe Financials Index,J.P. Morgan Emerging Markets Bond Index , IBoxx US Investment Grade Corporate Bond Index , IBoxx US High Yield Corporate Bond Index,Emerging Markets -US 10 Year Bond  Average Spread,US 10 Year Treasury Yield,Crude Oil WTI,Gold ,London Metal Exchange Index,US Dollar Index
11/11/2013,-0.010767408,-0.015052298,-0.022765519,0.005026246,0.010938148,0.005769774,-0.01762655,-0.008611025,-0.001603291,0.007559462,0.036784644,0.018915909,-0.020708314,-0.005500839,0.004777786
11/15/2013,0.005104752,0.008127286,0.012442676,0.01475196,0.006757105,-0.004649232,0.010432879,0.008521796,-0.000204549,0.018003873,-0.02348686,-0.013694735,0.004981259,-0.012421521,-0.003004142
11/21/2013,-0.002512332,-0.006422132,-0.000724516,-0.001247211,0.002978402,0.00026196,-0.0023163,-0.00261212,0.002199708,-0.001133633,0.031463946,0.017049483,-0.034017825,-0.002422961,0.002789496
11/27/2013,-0.002107404,0.00046832,0.004578023,0.006303354,0.016876929,0.02114955,0.001788137,0.005698582,0.003805193,0.018572092,-0.01756669,-0.032916196,-0.004596366,-0.006656212,-0.004212403
12/4/2013,-0.004393913,-0.004675485,-0.012852176,-0.007977954,-0.022581532,-0.023873329,-0.008486369,-0.005399574,-0.00030033,-0.000950053,0.035865079,0.053238917,0.008390811,0.010837508,-0.001210744
12/10/2013,0.009327729,-0.000118803,0.016772397,0.005436448,-0.002902317,0.008242675,0.009126509,0.006104386,0.00250189,-0.021211068,-0.012029101,0.013508146,0.011343648,0.009804145,-0.007984437
12/16/2013,-0.001802387,-0.010879731,-0.021571758,-0.008951034,0.005333501,-0.005047102,0.004907183,-0.001002907,-0.00050061,-0.026996134,0.02713544,-0.010488366,-0.013414765,0.014530829,0.001290907
12/20/2013,-0.008375977,0.003397981,-0.002105519,0.017702105,0.025770221,0.022271314,0.00069987,0.004692919,0.00090023,0.012751707,0.003832603,0.018890321,-0.032339684,0.002827359,0.006398988
12/27/2013,0.001597787,0.00028861,0.009821615,0.012650096,0.02009964,0.028921352,-0.00220056,-0.004694253,0.00060005,-0.024278794,0.038776215,0.010001534,0.009080354,0.0157604,-0.002299319
1/3/2014,-0.007595512,-0.004117671,-0.017981982,-0.005433072,-0.016111021,-0.01593057,0.00170017,0.004482048,0.002902991,0.008733269,-0.001383461,-0.063478009,0.018265686,-0.019221948,0.004970204
1/9/2014,-0.001303059,-0.004402574,-0.016739708,0.003685048,-0.001466077,0.030934866,0.001097497,0.000782856,0.003904892,0.015997385,-0.009629282,-0.02444537,-0.007307411,-0.013819585,0.002696872
1/15/2014,-0.000123233,0.014161109,0.015457411,0.005561336,0.033208426,0.029304876,0.006413882,0.004980052,0.003504152,0.007824708,-0.025464126,0.027473192,0.007193185,0.027993452,0.000377069
